Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
Adipose tissue,Anatomy,N/A,ENSG00000143387.8,CTSK,protein coding,Protein-coding transcript,"chr1:150,768,684-150,780,799",59.4,32.8,38.2,45.1,46.5,44.2,5.4,6.6,35.1,68.6,50.3,43.4,50.5,53.5,49.4,4.49E-05,1.62E-05,8.76E-08,2.50E-07,1.46E-08,1.86E-11,1.72E-04,4.00E-06,2.74E-08,4.92E-09,5.46E-06,4.62E-07,3.42E-11,1.20E-09,3.74E-08,15
Adipose tissue,Anatomy,N/A,ENSG00000143418.15,CERS2,protein coding,Protein-coding transcript,"chr1:150,933,059-150,947,479",56.4,36.5,48.8,25.2,35.5,34.7,41,47.6,41.2,51,43.4,40.4,48.5,43.2,44.4,N/A,N/A,1.68E-02,1.52E-02,3.31E-02,2.75E-04,N/A,N/A,3.52E-05,5.83E-06,N/A,4.19E-04,1.55E-04,7.36E-06,3.13E-02,10
Adipose tissue,Anatomy,N/A,ENSG00000143437.16,ARNT,protein coding,Protein-coding transcript,"chr1:150,782,181-150,849,244",58.8,55.6,43.3,47.2,46.8,42.9,22.8,24.2,43.2,57.5,42.9,40.5,44.5,47.6,43.5,N/A,N/A,1.82E-05,3.00E-02,3.29E-05,6.43E-05,N/A,N/A,N/A,6.44E-07,N/A,3.61E-04,1.31E-04,1.44E-04,4.85E-06,9
Adipose tissue,Anatomy,N/A,ENSG00000143452.11,HORMAD1,protein coding,Protein-coding transcript,"chr1:150,670,536-150,693,364",7.1,3.9,0.4,3.4,0.4,0.3,0.1,0.1,0.4,0.3,0.3,0.4,0.2,0.3,0.2,5.28E-03,8.09E-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Adipose tissue,Anatomy,N/A,ENSG00000143457.6,GOLPH3L,protein coding,Protein-coding transcript,"chr1:150,618,701-150,669,630",32.3,14.3,27.3,33.4,43.7,34,21.3,26.2,47.9,23,28.8,33.5,28.8,29.9,28.9,3.41E-04,7.88E-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Adipose tissue,Anatomy,N/A,ENSG00000163125.11,RPRD2,protein coding,Protein-coding transcript,"chr1:150,335,567-150,449,042",24.2,33.6,58.4,66.7,87.6,71.8,28.5,29.4,90.7,81.6,76.5,72,73.6,78.5,78.9,N/A,N/A,N/A,N/A,3.80E-02,3.12E-02,N/A,N/A,N/A,N/A,N/A,N/A,3.79E-02,N/A,N/A,3
Adrenal cortex hormones,Other,N/A,ENSG00000141579.6,ZNF750,protein coding,Protein-coding transcript,"chr17:80,787,311-80,798,454",0.1,0.1,0.3,0.1,0.2,0.3,1.2,0.6,0.2,0.3,0.2,0.2,0.2,0.2,0.3,N/A,N/A,N/A,N/A,N/A,N/A,3.17E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Age of onset,Other,N/A,ENSG00000179344.12,HLA-DQB1,protein coding,Protein-coding transcript,"chr6:32,627,244-32,636,160",116.4,42.3,3.4,458.6,1.8,1.8,2.4,2.4,2.6,23.4,1.9,1,3.7,4.3,2.3,1.44E-18,2.85E-19,2.66E-15,1.64E-23,9.36E-16,7.47E-17,1.44E-10,5.84E-14,1.22E-17,3.58E-16,8.15E-12,N/A,1.52E-14,1.43E-14,3.63E-14,14
Age of onset,Other,N/A,ENSG00000196126.6,HLA-DRB1,protein coding,Protein-coding transcript,"chr6:32,546,546-32,557,625",1792.2,971,81.7,2016.6,15,16.4,11.7,11.4,15.1,292,30.4,8,36.8,37.1,28.1,1.30E-18,1.51E-09,3.78E-05,1.77E-12,2.56E-07,1.15E-05,8.46E-07,7.21E-07,2.65E-07,3.57E-09,2.37E-02,1.71E-11,4.08E-12,2.20E-10,4.29E-07,15
Age of onset,Other,N/A,ENSG00000196735.7,HLA-DQA1,protein coding,Protein-coding transcript,"chr6:32,595,956-32,614,839",33.3,26.1,1.2,248.2,1.1,0.9,1.2,1,0.5,7,0.4,0.1,0.5,0.5,0.5,7.21E-21,9.13E-12,7.35E-03,5.21E-24,1.10E-16,N/A,1.01E-16,N/A,N/A,1.75E-12,N/A,N/A,N/A,N/A,N/A,7
Age of onset,Other,N/A,ENSG00000204267.9,TAP2,protein coding,Protein-coding transcript,"chr6:32,789,610-32,806,557",76,123.2,201.5,221,170.3,174.4,156,193.2,159.4,191.3,155.7,149.5,140.4,162.6,140.9,5.51E-03,3.93E-06,1.68E-11,1.51E-12,1.29E-12,9.83E-12,3.42E-09,5.43E-11,6.17E-15,1.65E-12,3.52E-10,1.65E-12,1.23E-10,2.94E-10,2.48E-10,15
Age of onset,Other,N/A,ENSG00000213722.4,DDAH2,protein coding,Protein-coding transcript,"chr6:31,694,815-31,698,394",25.3,15.1,16.8,10,2.9,3.2,2.3,3.2,5.5,10.3,7.6,3.7,4.1,5,5.9,1.51E-02,N/A,3.04E-03,2.83E-02,N/A,N/A,N/A,N/A,N/A,1.38E-02,N/A,N/A,N/A,2.64E-02,1.79E-02,6
Age of onset,Other,N/A,ENSG00000223534.1,HLA-DQB1-AS1,antisense,lncRNA,"chr6:32,627,657-32,628,506",40.9,12.7,1.4,263.5,1.4,1,0.6,0.6,0.9,9,0.5,0.3,1.5,1.5,0.7,9.57E-17,1.79E-16,5.86E-13,1.94E-20,9.45E-16,N/A,N/A,N/A,N/A,1.43E-17,N/A,N/A,2.36E-13,6.33E-12,N/A,8
Age of onset,Other,N/A,ENSG00000229391.3,HLA-DRB6,pseudogene,Pseudogene,"chr6:32,520,490-32,527,799",91.1,58.2,4.4,110,1,1.2,0.5,0.5,0.8,15,1.8,0.3,1.6,1.9,1.3,2.00E-20,1.15E-20,4.64E-08,3.92E-15,5.30E-08,5.95E-11,N/A,N/A,N/A,6.27E-17,9.23E-06,N/A,3.32E-10,2.89E-12,1.02E-07,11
Age of onset,Other,N/A,ENSG00000232629.4,HLA-DQB2,protein coding,Protein-coding transcript,"chr6:32,723,875-32,731,311",31.2,12.1,1.4,108.3,0.7,0.8,1.1,0.7,1.2,13.6,1.6,0.5,2.3,2.6,1.5,6.77E-16,2.11E-12,1.46E-06,1.52E-18,N/A,N/A,2.87E-13,N/A,2.54E-12,5.55E-19,7.67E-11,N/A,2.49E-14,4.01E-14,3.06E-08,11
Age of onset,Other,N/A,ENSG00000237541.3,HLA-DQA2,protein coding,Protein-coding transcript,"chr6:32,709,119-32,714,992",57.4,72.5,4.2,211.4,1.2,1.3,1.1,1.1,0.6,15.5,1.4,0.2,1.3,1.3,1,3.30E-23,3.04E-24,3.61E-13,5.21E-24,2.12E-09,2.39E-13,2.63E-11,3.29E-10,N/A,3.95E-20,6.17E-06,N/A,3.61E-12,3.90E-12,6.63E-06,13
Age-related hearing impairment,Other,N/A,ENSG00000023839.6,ABCC2,protein coding,Protein-coding transcript,"chr10:101,542,489-101,611,949",1.9,2,4.7,7.5,7.8,6.6,1.8,2.3,7.7,5.9,5.5,4.8,5.7,5.6,5.7,2.18E-03,1.18E-02,1.59E-02,4.81E-03,6.47E-05,1.67E-02,N/A,N/A,3.52E-03,2.83E-04,2.61E-03,2.26E-03,3.67E-05,6.12E-03,5.36E-03,13
Age-related hearing impairment,Other,N/A,ENSG00000044115.16,CTNNA1,protein coding,Protein-coding transcript,"chr5:137,946,656-138,270,723",64.3,74,20.2,19,0.8,0.5,4.9,3.1,2.4,21.5,9.6,9.1,11.6,7.3,7.2,1.16E-03,1.68E-16,N/A,3.94E-04,N/A,N/A,N/A,N/A,1.18E-03,5.73E-11,2.38E-02,3.09E-03,1.81E-08,7.53E-08,2.18E-10,10
Age-related hearing impairment,Other,N/A,ENSG00000076382.12,SPAG5,protein coding,Protein-coding transcript,"chr17:26,904,588-26,926,297",5.5,3.3,4.9,3.5,6.4,5.3,12.2,12.7,6.3,8.4,6.6,4.6,5.6,6.6,6.4,N/A,N/A,N/A,N/A,N/A,4.30E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Age-related hearing impairment,Other,N/A,ENSG00000095485.12,CWF19L1,protein coding,Protein-coding transcript,"chr10:101,992,055-102,027,437",21.4,21.1,32.2,48.6,41.2,39.1,30.4,33.6,39.7,38.3,36.2,34.7,35.3,37.4,36.7,9.49E-07,6.85E-05,N/A,N/A,6.33E-04,N/A,4.07E-05,1.68E-05,1.42E-02,4.32E-02,N/A,6.06E-03,4.01E-02,N/A,N/A,9
Age-related hearing impairment,Other,N/A,ENSG00000099251.10,HSD17B7P2,pseudogene,Pseudogene,"chr10:38,645,305-38,667,433",2.7,6.2,9,9.2,9,9.7,4.9,6.6,9.1,8.3,7.6,8.1,8.9,7.7,7.5,2.92E-02,5.70E-04,4.65E-03,N/A,1.08E-04,6.78E-03,1.30E-04,8.83E-05,3.73E-02,N/A,N/A,2.02E-03,1.08E-03,7.26E-04,4.61E-05,12
Age-related hearing impairment,Other,N/A,ENSG00000099282.5,TSPAN15,protein coding,Protein-coding transcript,"chr10:71,211,229-71,267,425",0.1,0.2,1,0,1,0.4,0.2,0.1,2,3.2,3.3,15.8,11.7,1.8,3.7,N/A,N/A,1.53E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Age-related hearing impairment,Other,N/A,ENSG00000100116.12,GCAT,protein coding,Protein-coding transcript,"chr22:38,203,912-38,213,183",0.4,0.2,0.3,0,1.9,1.7,0.4,0.4,0.6,0.8,1.5,0.9,1.4,1.1,2.9,N/A,N/A,N/A,N/A,1.69E-03,1.87E-03,N/A,N/A,N/A,N/A,5.01E-09,N/A,1.09E-06,2.30E-06,1.02E-04,6
Age-related hearing impairment,Other,N/A,ENSG00000100154.10,TTC28,protein coding,Protein-coding transcript,"chr22:28,374,004-29,075,853",0.3,0.1,3.3,3.9,4.7,4.2,0.5,0.5,3.5,0.7,1.1,0.6,0.5,0.7,1.2,N/A,N/A,1.09E-03,1.84E-08,N/A,2.75E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Age-related hearing impairment,Other,N/A,ENSG00000100219.12,XBP1,protein coding,Protein-coding transcript,"chr22:29,190,543-29,196,585",105.7,48.8,206.8,45.8,149.1,114.6,189.2,199.8,87.6,68.9,168.2,204.8,148.1,182.9,124.2,N/A,N/A,N/A,6.88E-05,7.75E-06,1.11E-06,3.85E-03,N/A,1.46E-08,1.75E-09,N/A,N/A,4.81E-07,4.78E-05,2.26E-06,9
Age-related hearing impairment,Other,N/A,ENSG00000100612.9,DHRS7,protein coding,Protein-coding transcript,"chr14:60,610,838-60,636,574",78.9,70.6,180.8,29,44.6,54.1,11.7,19.7,53.7,61.9,76.3,82.3,76,72.6,66,N/A,N/A,N/A,N/A,2.53E-02,2.00E-04,2.41E-03,4.59E-02,5.04E-05,N/A,N/A,N/A,N/A,N/A,N/A,5
Age-related hearing impairment,Other,N/A,ENSG00000106477.14,CEP41,protein coding,Protein-coding transcript,"chr7:130,033,612-130,082,274",1.6,2.2,6.4,2.4,9.9,19,3.6,6.3,8.3,3.2,3.4,3.1,2.7,3,3.7,N/A,N/A,8.84E-06,N/A,N/A,1.97E-02,N/A,N/A,1.81E-03,4.98E-02,N/A,N/A,N/A,N/A,N/A,4
Age-related hearing impairment,Other,N/A,ENSG00000115274.10,INO80B,protein coding,Protein-coding transcript,"chr2:74,682,150-74,688,011",21.2,14.1,28.4,19.2,27.2,28.7,47.4,52.9,26.5,39.9,30.6,23.3,28,27.2,38.8,N/A,N/A,2.90E-02,4.75E-02,N/A,N/A,3.49E-03,6.21E-05,N/A,N/A,N/A,N/A,8.17E-03,N/A,N/A,5
Age-related hearing impairment,Other,N/A,ENSG00000115307.12,AUP1,protein coding,Protein-coding transcript,"chr2:74,753,772-74,757,066",133.3,137.3,221.7,160.9,132,149.6,160.9,200.9,147.8,219.3,173.2,141.7,166.6,160.6,170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.01E-04,1.78E-02,N/A,N/A,N/A,N/A,N/A,2
Age-related hearing impairment,Other,N/A,ENSG00000117481.6,NSUN4,protein coding,Protein-coding transcript,"chr1:46,805,849-46,830,824",11.9,7.8,8.9,17.9,12.7,11.1,30.7,28.5,13.2,10.6,11.5,11,11.2,11.9,12.9,1.67E-08,4.97E-13,4.32E-10,1.75E-11,1.00E-06,1.66E-08,N/A,N/A,6.33E-07,3.77E-06,8.86E-06,6.07E-04,5.86E-07,2.50E-05,1.51E-06,13
Age-related hearing impairment,Other,N/A,ENSG00000136381.8,IREB2,protein coding,Protein-coding transcript,"chr15:78,729,773-78,793,798",49.6,94.7,90.6,113.5,109.1,97.9,105.2,100.8,116.9,67.1,75.6,87.8,73.5,81.4,73.5,3.67E-07,4.95E-05,N/A,8.28E-06,N/A,1.13E-02,N/A,N/A,2.16E-03,N/A,5.98E-04,4.49E-07,3.88E-06,1.82E-05,2.66E-03,10
Age-related hearing impairment,Other,N/A,ENSG00000136868.9,SLC31A1,protein coding,Protein-coding transcript,"chr9:115,983,808-116,028,674",110.7,143.8,30.7,10.7,22.8,17.3,20.7,22,21.2,23.9,15.1,16.6,14,14.5,13.3,N/A,N/A,1.11E-02,N/A,N/A,N/A,N/A,4.80E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Age-related hearing impairment,Other,N/A,ENSG00000140543.9,DET1,protein coding,Protein-coding transcript,"chr15:89,054,790-89,089,906",4.5,9.7,8.7,11.1,17,12.1,5.1,4.9,18.3,9.7,11.2,9.3,10.5,11.2,13.2,N/A,N/A,1.15E-02,1.55E-02,3.52E-02,N/A,N/A,N/A,N/A,N/A,N/A,2.42E-02,N/A,N/A,N/A,4
Age-related hearing impairment,Other,N/A,ENSG00000148158.12,SNX30,protein coding,Protein-coding transcript,"chr9:115,513,118-115,643,951",67.6,83.4,20.6,31.6,22,21.5,5.7,8.1,22.5,26,23.6,27.4,24.4,27.5,20.5,8.23E-04,N/A,N/A,4.29E-06,N/A,N/A,N/A,4.17E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Age-related hearing impairment,Other,N/A,ENSG00000152527.9,PLEKHH2,protein coding,Protein-coding transcript,"chr2:43,864,412-43,995,126",0,0,0.1,0.1,4.8,4,0.7,0.7,4.2,0.3,2.2,1.4,0.8,1.7,1.7,N/A,N/A,N/A,N/A,1.29E-16,1.10E-13,N/A,N/A,8.54E-11,N/A,3.44E-12,2.62E-09,N/A,1.13E-10,3.89E-13,7
Age-related hearing impairment,Other,N/A,ENSG00000153157.8,SYCP2L,protein coding,Protein-coding transcript,"chr6:10,748,027-10,979,553",1.1,0.3,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0,1.49E-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Age-related hearing impairment,Other,N/A,ENSG00000153283.8,CD96,protein coding,Protein-coding transcript,"chr3:111,011,566-111,384,597",0.4,1.6,457.1,61.2,427.6,536.3,373.1,538.4,304.4,257,472.1,619.6,467.3,429.6,387.2,N/A,N/A,N/A,3.01E-16,N/A,N/A,N/A,N/A,4.34E-02,2.85E-02,N/A,N/A,N/A,N/A,N/A,3
Age-related hearing impairment,Other,N/A,ENSG00000158525.11,CPA5,protein coding,Protein-coding transcript,"chr7:129,984,630-130,008,571",0,0,0,0,1,7.2,0.1,0.9,6.3,5.8,1.3,0.5,1.7,1.6,3.2,N/A,N/A,N/A,N/A,N/A,2.82E-07,N/A,N/A,1.68E-08,4.66E-11,4.99E-07,N/A,1.14E-07,2.62E-07,4.65E-08,7
Age-related hearing impairment,Other,N/A,ENSG00000158825.5,CDA,protein coding,Protein-coding transcript,"chr1:20,915,441-20,945,401",187.8,74.7,0.3,0.1,0.4,0.4,0,0,0.4,0.6,0,0,0,0,0.5,1.92E-08,1.14E-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Age-related hearing impairment,Other,N/A,ENSG00000164002.7,EXO5,protein coding,Protein-coding transcript,"chr1:40,974,413-40,982,228",1.9,3.5,12.9,5.9,7.6,7.7,8.7,12.2,7,7.8,6.5,5.2,6.2,6.5,7.5,2.18E-04,N/A,2.97E-02,2.13E-02,3.25E-02,4.61E-02,5.20E-03,2.59E-04,N/A,3.63E-07,4.73E-04,5.03E-03,4.64E-04,N/A,6.69E-03,12
Age-related hearing impairment,Other,N/A,ENSG00000167081.12,PBX3,protein coding,Protein-coding transcript,"chr9:128,509,624-128,729,656",21.2,30.7,21.7,34,43.1,36.5,10.9,8.2,37.3,13.1,20.6,20.3,19.8,26.5,25.2,N/A,N/A,N/A,N/A,4.04E-03,5.43E-05,6.27E-03,N/A,2.55E-05,N/A,2.43E-02,1.56E-02,N/A,N/A,N/A,6
Age-related hearing impairment,Other,N/A,ENSG00000173706.8,HEG1,protein coding,Protein-coding transcript,"chr3:124,684,554-124,774,802",6.7,115.2,128.6,12.3,41.7,15.7,46.9,23.4,29,28.3,38.3,45.3,34.3,34.9,26.9,N/A,2.06E-02,1.35E-11,2.09E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Age-related hearing impairment,Other,N/A,ENSG00000176731.7,C8orf59,protein coding,Protein-coding transcript,"chr8:86,126,311-86,132,650",13.1,16.3,32.6,39,39.3,35.8,30.6,31.9,33,20.3,26.2,26.7,24.1,25.1,26.2,9.71E-05,3.47E-05,4.93E-05,9.00E-13,6.67E-15,7.95E-15,N/A,N/A,1.32E-12,1.02E-11,5.31E-07,1.22E-13,6.33E-14,2.17E-12,3.87E-12,13
Age-related hearing impairment,Other,N/A,ENSG00000177494.5,ZBED2,protein coding,Protein-coding transcript,"chr3:111,311,747-111,314,290",0,0,7.5,2.6,9.7,14.6,20.1,24.2,8.1,5.9,9.7,10.6,8,9.4,9.9,N/A,N/A,N/A,1.81E-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Age-related hearing impairment,Other,N/A,ENSG00000183765.16,CHEK2,protein coding,Protein-coding transcript,"chr22:29,083,731-29,138,410",5.9,10.4,8.9,15.7,9.6,8.3,2.9,1.9,8.7,8.9,6.7,6.3,6.7,7.6,7.4,N/A,N/A,9.46E-04,2.34E-03,N/A,3.10E-03,N/A,N/A,N/A,N/A,N/A,N/A,1.64E-04,3.36E-04,2.58E-03,6
Age-related hearing impairment,Other,N/A,ENSG00000187605.11,TET3,protein coding,Protein-coding transcript,"chr2:74,229,840-74,335,303",94.5,52.4,43.6,43.1,41.3,49,167.7,118.8,29.2,29.2,25.6,20.8,22.7,32.9,34.1,N/A,N/A,1.88E-03,N/A,2.61E-04,N/A,N/A,N/A,9.77E-03,N/A,N/A,N/A,1.67E-02,N/A,1.63E-03,5
Age-related hearing impairment,Other,N/A,ENSG00000188266.9,HYKK,protein coding,Protein-coding transcript,"chr15:78,799,906-78,829,714",0.1,0.1,0.2,0.2,8.6,3.7,1.5,0.9,9.7,2.5,4.3,2.5,3.9,3.6,7.8,N/A,N/A,N/A,N/A,N/A,5.54E-03,N/A,N/A,N/A,4.59E-02,N/A,3.80E-02,N/A,N/A,N/A,3
Age-related hearing impairment,Other,N/A,ENSG00000189060.4,H1F0,protein coding,Protein-coding transcript,"chr22:38,201,114-38,203,442",93.4,82.1,1.2,0.3,13.7,5.3,1.7,0.9,4.8,1.8,7.3,6.1,7.5,8.2,13.5,3.29E-08,1.59E-05,N/A,N/A,1.27E-06,N/A,7.33E-03,N/A,8.28E-03,1.05E-03,1.50E-06,2.81E-07,1.51E-08,2.40E-06,5.24E-08,11
Age-related hearing impairment,Other,N/A,ENSG00000238287.1,RP11-656D10.3,antisense,lncRNA,"chr1:40,958,829-40,974,333",0.6,0.6,2.9,2.8,2.2,2.1,2.2,2.6,2.3,1.7,1.4,1.1,1.2,1.4,1.8,N/A,N/A,1.56E-07,3.65E-06,3.49E-08,6.70E-07,2.98E-02,7.43E-03,1.51E-06,8.45E-04,1.20E-03,4.60E-05,3.22E-08,4.09E-02,6.07E-09,13
Age-related hearing impairment,Other,N/A,ENSG00000239282.3,GATSL3,protein coding,Protein-coding transcript,"chr22:30,681,106-30,685,616",1.3,0.4,0.9,0.3,1.1,1.7,0.2,0.2,1,1.4,1.1,0.8,1.1,1.5,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.19E-02,N/A,N/A,N/A,4.55E-02,N/A,2
Age-related hearing impairment,Other,N/A,ENSG00000239779.2,WBP1,protein coding,Protein-coding transcript,"chr2:74,685,456-74,688,018",7.8,6.6,19.8,16.5,27.7,28.6,14.1,14.6,24.7,27.4,23.3,19.1,23.7,24.3,25.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.97E-02,N/A,N/A,N/A,N/A,N/A,1
Age-related hearing impairment,Other,N/A,ENSG00000240875.1,LINC00886,lincRNA,lncRNA,"chr3:156,465,135-156,534,851",0.7,0.6,1.2,2,1,1.2,0.2,0.4,1,1.3,1,1.4,1.2,0.7,1.2,N/A,N/A,1.30E-05,1.35E-05,1.18E-07,3.48E-07,N/A,N/A,2.21E-08,5.65E-05,4.16E-05,7.33E-06,2.79E-10,N/A,2.73E-06,10
Age-related hearing impairment,Other,N/A,ENSG00000243711.1,RPL21P116,pseudogene,Pseudogene,"chr15:79,155,589-79,156,071",0.1,0.3,0.2,1,0.8,1.2,0.6,2.4,0.6,0.4,0.7,1,0.9,0.7,0.5,N/A,N/A,N/A,2.71E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Age-related hearing impairment,Other,N/A,ENSG00000243926.1,TIPARP-AS1,antisense,lncRNA,"chr3:156,389,651-156,392,167",2.1,2.5,3.7,1.6,3.3,3.5,0.5,0.7,2.5,2.3,3.2,3.7,4.1,3.7,3.7,1.60E-04,1.39E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.99E-03,N/A,1.16E-03,N/A,N/A,4
Age-related hearing impairment,Other,N/A,ENSG00000244720.1,RP11-402J7.2,pseudogene,Pseudogene,"chr3:111,352,519-111,353,936",0.1,0.2,40.8,14.2,58.7,85.6,33.1,35.7,44.5,18.1,47,84.5,49.5,60.8,35.1,N/A,N/A,N/A,2.77E-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.29E-02,N/A,N/A,2
Age-related hearing impairment,Other,N/A,ENSG00000248905.4,FMN1,protein coding,Protein-coding transcript,"chr15:33,057,747-33,486,897",6.3,0,0.8,3.3,11.2,6,3.9,2.2,5.2,3.4,16.6,14.3,18,25.9,17.5,N/A,N/A,N/A,1.04E-04,1.31E-15,1.33E-14,1.25E-12,1.03E-12,3.76E-13,3.54E-20,5.10E-18,1.32E-20,6.34E-22,2.07E-22,3.68E-24,12
Age-related hearing impairment,Other,N/A,ENSG00000257702.3,LBX2-AS1,antisense,lncRNA,"chr2:74,729,722-74,731,805",3.2,1.4,5.1,0.3,0.4,0.6,0.3,0.4,0.6,1.9,1.3,0.9,1.1,1,1.1,N/A,N/A,1.66E-03,N/A,N/A,N/A,N/A,N/A,N/A,1.63E-12,7.13E-14,N/A,3.84E-15,N/A,1.04E-14,5
Age-related hearing impairment,Other,N/A,ENSG00000258821.1,AC005041.17,antisense,lncRNA,"chr2:74,725,815-74,726,494",0.5,0.4,4.3,0.6,0.9,1.2,0.5,0.9,1.1,3,1.8,1.6,1.5,1.3,1.8,N/A,N/A,N/A,N/A,N/A,8.96E-04,N/A,N/A,3.38E-04,7.88E-07,4.01E-04,2.41E-05,1.51E-07,2.98E-05,4.53E-06,8
Age-related hearing impairment,Other,N/A,ENSG00000259392.2,RP11-758N13.3,pseudogene,Pseudogene,"chr15:33,129,184-33,129,527",0.4,0,0,0.1,0.5,0.3,0.1,0.1,0.3,0.2,1.5,1,1.5,2,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.37E-14,4.46E-13,7.12E-14,1.81E-16,1.27E-11,5
Age-related hearing impairment,Other,N/A,ENSG00000259494.1,MRPL46,protein coding,Protein-coding transcript,"chr15:89,002,707-89,010,650",0.4,1.1,1.8,1.7,2.4,2.2,5.9,5.7,2.2,1.7,1.9,1.8,1.9,1.8,2,N/A,N/A,N/A,3.61E-02,N/A,N/A,3.50E-02,N/A,N/A,2.90E-02,N/A,N/A,N/A,N/A,N/A,3
Age-related hearing impairment,Other,N/A,ENSG00000268838.1,AC027228.1,protein coding,Protein-coding transcript,"chr15:78,830,023-78,831,288",0.3,1.8,0.3,0.5,2.4,1.2,1.8,2.1,1.9,1.1,1.3,1.1,1.2,1.3,1.6,N/A,4.64E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Age-related hearing impairment,Other,N/A,ENSG00000272183.1,RP11-523H20.3,antisense,lncRNA,"chr2:74,728,844-74,729,492",0.6,0.4,2.4,0.4,0.4,0.6,0.4,0.6,0.6,1.3,0.7,0.5,0.7,0.6,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.56E-02,N/A,N/A,N/A,N/A,N/A,1
Aggression,Behavior and behavior mechanisms,N/A,ENSG00000010810.13,FYN,protein coding,Protein-coding transcript,"chr6:111,981,535-112,194,655",100,109.2,407.1,42.2,228.8,157.3,664.2,529.7,308.1,306.7,339.5,263.2,247.1,259.8,389,2.98E-03,N/A,N/A,1.82E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Aggression,Behavior and behavior mechanisms,N/A,ENSG00000227012.2,RP1-97J1.2,lincRNA,lncRNA,"chr6:112,221,692-112,223,054",0.3,1.2,0.1,0.2,0.5,0.4,0.2,0.1,0.5,0.3,0.2,0.3,0.3,0.3,0.2,N/A,1.15E-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Agranulocytosis,Hemic and lymphatic diseases,N/A,ENSG00000204257.10,HLA-DMA,protein coding,Protein-coding transcript,"chr6:32,916,390-32,936,871",388.4,128.2,26.5,933.9,17.6,20,2.6,3.2,15.2,68.4,15.9,6.6,9.3,12.1,14.8,N/A,N/A,3.61E-02,N/A,2.52E-02,2.56E-02,4.17E-02,3.91E-02,1.47E-03,N/A,4.75E-04,8.68E-03,4.52E-04,1.44E-02,2.10E-02,11
